Segment_ID,Is_Weekend,3_Hr_Intvl,Season,Traffic_Volume,StreetWidth_z,StreetWidth,UnitsRes_Prop,NumFloors,SubwayProximity,LandUse_t1,LandUse_t2,LandUse_t3,LandUse_t4,LandUse_t5,BoroCode
132595,False,3,Autumn,165.8,1.0722447906165955,56.0,0.8264205682272909,2.37117903930131,0.0510875792878001,0.7641921397379913,0.1222707423580786,0.0262008733624454,0.0524017467248908,0.0349344978165938,Bronx
132595,False,6,Autumn,109.4,1.0722447906165955,56.0,0.8264205682272909,2.37117903930131,0.0510875792878001,0.7641921397379913,0.1222707423580786,0.0262008733624454,0.0524017467248908,0.0349344978165938,Bronx
132595,False,9,Autumn,328.87,1.0722447906165955,56.0,0.8264205682272909,2.37117903930131,0.0510875792878001,0.7641921397379913,0.1222707423580786,0.0262008733624454,0.0524017467248908,0.0349344978165938,Bronx
132595,False,12,Autumn,374.4,1.0722447906165955,56.0,0.8264205682272909,2.37117903930131,0.0510875792878001,0.7641921397379913,0.1222707423580786,0.0262008733624454,0.0524017467248908,0.0349344978165938,Bronx
132595,False,15,Autumn,397.87,1.0722447906165955,56.0,0.8264205682272909,2.37117903930131,0.0510875792878001,0.7641921397379913,0.1222707423580786,0.0262008733624454,0.0524017467248908,0.0349344978165938,Bronx
132595,False,18,Autumn,432.4,1.0722447906165955,56.0,0.8264205682272909,2.37117903930131,0.0510875792878001,0.7641921397379913,0.1222707423580786,0.0262008733624454,0.0524017467248908,0.0349344978165938,Bronx
132595,False,21,Autumn,421.6,1.0722447906165955,56.0,0.8264205682272909,2.37117903930131,0.0510875792878001,0.7641921397379913,0.1222707423580786,0.0262008733624454,0.0524017467248908,0.0349344978165938,Bronx
132595,False,24,Autumn,331.47,1.0722447906165955,56.0,0.8264205682272909,2.37117903930131,0.0510875792878001,0.7641921397379913,0.1222707423580786,0.0262008733624454,0.0524017467248908,0.0349344978165938,Bronx
132595,True,3,Autumn,301.12,1.0722447906165955,56.0,0.8264205682272909,2.37117903930131,0.0510875792878001,0.7641921397379913,0.1222707423580786,0.0262008733624454,0.0524017467248908,0.0349344978165938,Bronx
132595,True,6,Autumn,190.79,1.0722447906165955,56.0,0.8264205682272909,2.37117903930131,0.0510875792878001,0.7641921397379913,0.1222707423580786,0.0262008733624454,0.0524017467248908,0.0349344978165938,Bronx
132595,True,9,Autumn,221.96,1.0722447906165955,56.0,0.8264205682272909,2.37117903930131,0.0510875792878001,0.7641921397379913,0.1222707423580786,0.0262008733624454,0.0524017467248908,0.0349344978165938,Bronx
132595,True,12,Autumn,369.92,1.0722447906165955,56.0,0.8264205682272909,2.37117903930131,0.0510875792878001,0.7641921397379913,0.1222707423580786,0.0262008733624454,0.0524017467248908,0.0349344978165938,Bronx
